KindOfOperation,KindOfSpace,RoomsAmount,LocationRating,Size,Price,Standard,Floor,City,UserRoomsAmount,UserPrice,UserStandard,UserLocationRating,IsGoodOfert
W,M,3.00,2.00,66.00,3991.68,3.00,5.00,Lublin,0.00,7983.36,1.00,1.00,1
K,M,2.00,4.00,44.00,18332.16,1.00,10.00,Lublin,1.00,28976.64,0.00,2.00,1
W,M,5.00,3.00,105.00,5292.00,1.00,9.00,Bia³ystok,0.00,7938.00,0.00,2.00,1
K,M,3.00,4.00,54.00,87091.20,1.00,7.00,Warszawa,0.00,97977.60,0.00,3.00,1
K,M,1.00,3.00,24.00,41126.40,5.00,10.00,Warszawa,0.00,56851.20,4.00,0.00,1
W,M,2.00,5.00,40.00,10080.00,5.00,8.00,Lublin,1.00,13440.00,1.00,2.00,1
W,M,5.00,1.00,100.00,6720.00,4.00,3.00,Poznañ,2.00,10080.00,0.00,0.00,1
W,M,4.00,3.00,84.00,10160.64,2.00,6.00,Bia³ystok,3.00,13547.52,1.00,0.00,1
K,M,4.00,3.00,84.00,287884.80,5.00,6.00,Poznañ,0.00,338688.00,4.00,2.00,1
W,M,4.00,4.00,76.00,12257.28,3.00,4.00,Warszawa,2.00,24514.56,1.00,2.00,1
W,M,5.00,1.00,95.00,7980.00,5.00,2.00,Poznañ,3.00,15960.00,4.00,0.00,1
W,M,5.00,2.00,95.00,15960.00,5.00,6.00,Lublin,0.00,31920.00,3.00,0.00,1
W,M,3.00,4.00,66.00,19958.40,5.00,7.00,£ódŸ,1.00,26611.20,0.00,0.00,1
K,M,5.00,3.00,105.00,899640.00,5.00,10.00,Warszawa,3.00,1217160.00,3.00,1.00,1
W,M,3.00,4.00,66.00,19958.40,5.00,10.00,Bydgoszcz,2.00,26611.20,3.00,2.00,1
W,M,2.00,3.00,36.00,2177.28,3.00,0.00,Gdañsk,0.00,4354.56,2.00,1.00,1
W,M,3.00,3.00,54.00,9797.76,4.00,3.00,Wroc³aw,1.00,13063.68,3.00,2.00,1
W,M,5.00,5.00,110.00,46200.00,5.00,7.00,Bydgoszcz,4.00,69300.00,1.00,4.00,1
W,M,5.00,3.00,105.00,21168.00,4.00,5.00,Szczecin,2.00,31752.00,2.00,0.00,1
W,M,4.00,2.00,76.00,15321.60,5.00,3.00,Lublin,1.00,20428.80,2.00,1.00,1
W,M,3.00,2.00,63.00,3810.24,3.00,7.00,Bia³ystok,0.00,5715.36,1.00,0.00,1
K,M,3.00,4.00,63.00,40642.56,1.00,10.00,Lublin,0.00,41912.64,0.00,1.00,1
W,M,3.00,4.00,63.00,5080.32,2.00,2.00,Warszawa,1.00,10160.64,1.00,0.00,1
K,M,3.00,5.00,57.00,284407.20,4.00,5.00,Gdañsk,1.00,310262.40,1.00,3.00,1
W,M,5.00,4.00,100.00,26880.00,4.00,0.00,Szczecin,0.00,40320.00,0.00,3.00,1
K,M,1.00,4.00,23.00,33755.90,4.00,4.00,Bia³ystok,0.00,40185.60,1.00,0.00,1
W,M,5.00,3.00,100.00,7560.00,1.00,7.00,Gdañsk,1.00,10080.00,0.00,1.00,1
W,M,4.00,5.00,72.00,19353.60,4.00,7.00,Wroc³aw,1.00,38707.20,3.00,4.00,1
K,M,4.00,2.00,80.00,158054.40,3.00,1.00,Szczecin,2.00,161280.00,1.00,0.00,1
W,M,5.00,4.00,90.00,45360.00,5.00,0.00,£ódŸ,0.00,60480.00,0.00,3.00,1
K,M,4.00,5.00,84.00,592704.00,4.00,1.00,Gdañsk,1.00,846720.00,0.00,1.00,1
K,M,3.00,4.00,57.00,206841.60,5.00,10.00,Poznañ,1.00,224078.40,4.00,2.00,1
K,M,2.00,5.00,38.00,127680.00,5.00,5.00,Szczecin,1.00,159600.00,1.00,1.00,1
W,M,5.00,4.00,100.00,50400.00,5.00,1.00,Poznañ,2.00,67200.00,1.00,1.00,1
W,M,4.00,3.00,84.00,10160.64,3.00,9.00,Wroc³aw,2.00,15240.96,1.00,1.00,1
W,M,5.00,5.00,105.00,35280.00,4.00,6.00,Poznañ,0.00,52920.00,3.00,3.00,1
K,M,2.00,2.00,38.00,46986.24,4.00,8.00,Bydgoszcz,1.00,51072.00,1.00,1.00,1
W,M,4.00,4.00,84.00,22579.20,5.00,9.00,Wroc³aw,1.00,45158.40,1.00,1.00,1
W,M,5.00,3.00,95.00,19152.00,4.00,4.00,Bydgoszcz,2.00,38304.00,1.00,2.00,1
K,M,5.00,5.00,100.00,537600.00,4.00,8.00,Lublin,4.00,739200.00,3.00,0.00,1
W,M,5.00,5.00,95.00,59850.00,5.00,2.00,Szczecin,3.00,79800.00,4.00,4.00,1
K,M,5.00,2.00,100.00,369600.00,5.00,7.00,Poznañ,3.00,420000.00,0.00,1.00,1
W,M,4.00,4.00,72.00,15482.88,4.00,5.00,Poznañ,2.00,23224.32,2.00,3.00,1
W,M,4.00,5.00,84.00,22579.20,4.00,0.00,Kraków,0.00,33868.80,2.00,2.00,1
K,M,5.00,4.00,100.00,873600.00,5.00,0.00,Bia³ystok,3.00,895440.00,4.00,2.00,1
K,M,3.00,3.00,54.00,151048.80,5.00,4.00,Poznañ,0.00,187790.40,0.00,0.00,1
K,M,4.00,3.00,88.00,164989.44,3.00,0.00,Poznañ,2.00,170311.68,0.00,1.00,1
K,M,4.00,5.00,84.00,180633.60,2.00,1.00,Bydgoszcz,2.00,259660.80,1.00,0.00,1
W,M,3.00,5.00,57.00,14364.00,5.00,6.00,Gdañsk,0.00,21546.00,0.00,3.00,1
K,M,3.00,4.00,63.00,222264.00,5.00,9.00,Bydgoszcz,0.00,247665.60,0.00,2.00,1
K,M,5.00,1.00,100.00,283500.00,5.00,10.00,Wroc³aw,4.00,302400.00,3.00,0.00,1
W,M,3.00,2.00,60.00,7257.60,4.00,1.00,Kraków,1.00,9676.80,0.00,0.00,1
K,M,2.00,4.00,44.00,134830.08,4.00,0.00,Kraków,1.00,170311.68,3.00,0.00,1
W,M,5.00,4.00,105.00,21168.00,3.00,8.00,Bia³ystok,3.00,42336.00,0.00,2.00,1
K,M,4.00,3.00,80.00,129024.00,2.00,1.00,Poznañ,0.00,161280.00,1.00,2.00,1
W,M,5.00,4.00,95.00,28728.00,3.00,8.00,Kraków,1.00,38304.00,1.00,3.00,1
W,M,1.00,2.00,23.00,618.24,4.00,4.00,Warszawa,0.00,1236.48,3.00,1.00,1
W,M,5.00,1.00,95.00,4788.00,3.00,8.00,Szczecin,3.00,9576.00,2.00,0.00,1
K,M,3.00,3.00,57.00,77565.60,3.00,4.00,Lublin,0.00,116348.40,0.00,1.00,1
K,M,4.00,2.00,72.00,143216.64,4.00,8.00,£ódŸ,2.00,193536.00,1.00,0.00,1
K,M,5.00,5.00,100.00,378000.00,3.00,1.00,Poznañ,4.00,592200.00,2.00,0.00,1
W,M,5.00,5.00,105.00,13230.00,1.00,10.00,Warszawa,3.00,17640.00,0.00,1.00,1
W,M,5.00,5.00,100.00,25200.00,3.00,0.00,£ódŸ,1.00,37800.00,2.00,3.00,1
K,M,1.00,5.00,24.00,49896.00,5.00,2.00,Kraków,0.00,57456.00,4.00,4.00,1
W,M,4.00,5.00,80.00,16128.00,2.00,4.00,Gdañsk,3.00,21504.00,1.00,4.00,1
W,M,4.00,4.00,72.00,15482.88,4.00,2.00,Kraków,3.00,23224.32,2.00,1.00,1
W,M,1.00,5.00,21.00,1587.60,3.00,10.00,Wroc³aw,0.00,2116.80,1.00,1.00,1
K,M,4.00,2.00,80.00,197836.80,4.00,0.00,Szczecin,1.00,206438.40,0.00,0.00,1
W,M,2.00,2.00,44.00,2956.80,5.00,5.00,£ódŸ,0.00,5913.60,3.00,0.00,1
K,M,4.00,3.00,88.00,319334.40,5.00,8.00,Bydgoszcz,2.00,354816.00,0.00,1.00,1
K,M,5.00,5.00,95.00,897750.00,5.00,3.00,Wroc³aw,2.00,1167075.00,0.00,2.00,1
K,M,5.00,1.00,95.00,119700.00,5.00,4.00,£ódŸ,2.00,175560.00,2.00,0.00,1
K,M,3.00,3.00,66.00,71850.24,2.00,9.00,Bydgoszcz,2.00,95800.32,0.00,2.00,1
W,M,5.00,1.00,95.00,9576.00,4.00,6.00,Warszawa,4.00,12768.00,3.00,0.00,1
W,M,5.00,2.00,95.00,9576.00,2.00,7.00,£ódŸ,1.00,12768.00,0.00,1.00,1
W,M,4.00,5.00,72.00,19353.60,4.00,8.00,Bia³ystok,0.00,38707.20,1.00,2.00,1
K,M,5.00,3.00,95.00,344736.00,4.00,6.00,Bydgoszcz,0.00,373464.00,3.00,1.00,1
W,M,4.00,2.00,80.00,12902.40,4.00,4.00,Kraków,3.00,17203.20,0.00,1.00,1
W,M,5.00,2.00,90.00,6048.00,2.00,10.00,Lublin,3.00,9072.00,0.00,0.00,1
W,M,4.00,5.00,72.00,29030.40,4.00,2.00,Lublin,2.00,38707.20,3.00,0.00,1
K,M,2.00,4.00,40.00,129024.00,4.00,2.00,Kraków,0.00,135475.20,1.00,1.00,1
W,M,3.00,3.00,66.00,2993.76,1.00,7.00,Szczecin,0.00,3991.68,0.00,0.00,1
W,M,5.00,2.00,90.00,13608.00,3.00,5.00,Lublin,0.00,18144.00,2.00,1.00,1
K,M,5.00,3.00,105.00,568890.00,5.00,0.00,£ódŸ,3.00,608580.00,3.00,1.00,1
W,M,4.00,5.00,76.00,20428.80,4.00,3.00,Kraków,1.00,40857.60,0.00,4.00,1
K,M,2.00,4.00,38.00,91929.60,5.00,9.00,£ódŸ,1.00,114912.00,3.00,1.00,1
K,M,5.00,5.00,105.00,1124550.00,5.00,0.00,Kraków,4.00,1653750.00,0.00,0.00,1
K,M,4.00,5.00,76.00,157046.40,1.00,4.00,Wroc³aw,1.00,183859.20,0.00,1.00,1
W,M,3.00,4.00,54.00,8709.12,4.00,6.00,Bia³ystok,0.00,13063.68,1.00,0.00,1
W,M,4.00,3.00,72.00,8709.12,3.00,6.00,£ódŸ,3.00,13063.68,1.00,1.00,1
W,M,4.00,2.00,80.00,4300.80,2.00,4.00,Wroc³aw,2.00,6451.20,0.00,1.00,1
K,M,1.00,4.00,24.00,24514.56,4.00,7.00,£ódŸ,0.00,29675.52,3.00,1.00,1
W,M,3.00,5.00,54.00,8164.80,3.00,5.00,Warszawa,1.00,12247.20,2.00,1.00,1
K,M,3.00,5.00,66.00,164656.80,2.00,0.00,Kraków,2.00,229521.60,1.00,4.00,1
K,M,4.00,5.00,88.00,798336.00,5.00,7.00,Kraków,2.00,975744.00,4.00,2.00,1
K,M,4.00,2.00,72.00,127733.76,4.00,3.00,Bydgoszcz,0.00,185794.56,0.00,0.00,1
W,M,3.00,3.00,54.00,3265.92,2.00,7.00,Kraków,0.00,6531.84,0.00,1.00,1
W,M,3.00,4.00,57.00,11491.20,5.00,2.00,Warszawa,2.00,17236.80,3.00,1.00,1
K,M,5.00,3.00,100.00,241920.00,3.00,6.00,Szczecin,4.00,362880.00,2.00,0.00,1
K,M,5.00,2.00,105.00,379260.00,5.00,4.00,£ódŸ,1.00,423360.00,1.00,1.00,1
K,M,2.00,3.00,36.00,35925.12,2.00,9.00,Kraków,1.00,46811.52,0.00,2.00,1
W,M,3.00,2.00,60.00,9072.00,5.00,5.00,Szczecin,2.00,12096.00,3.00,1.00,1
K,M,3.00,5.00,66.00,252806.40,4.00,7.00,Poznañ,0.00,266112.00,2.00,3.00,1
K,M,4.00,2.00,76.00,173644.80,5.00,10.00,Poznañ,3.00,250252.80,2.00,1.00,1
K,M,4.00,4.00,84.00,299400.19,3.00,3.00,Bia³ystok,2.00,308206.08,0.00,1.00,1
W,M,2.00,5.00,44.00,5913.60,4.00,10.00,Bia³ystok,1.00,8870.40,3.00,2.00,1
K,M,5.00,5.00,100.00,441000.00,3.00,7.00,Szczecin,1.00,617400.00,1.00,2.00,1
W,M,4.00,3.00,80.00,12902.40,4.00,0.00,Bydgoszcz,0.00,25804.80,2.00,1.00,1
W,M,5.00,5.00,100.00,25200.00,2.00,2.00,Gdañsk,1.00,33600.00,1.00,3.00,1
W,M,1.00,2.00,21.00,1058.40,5.00,8.00,Lublin,0.00,1411.20,1.00,0.00,1
K,M,4.00,4.00,76.00,134830.08,2.00,6.00,Szczecin,3.00,183859.20,0.00,1.00,1
W,M,4.00,4.00,76.00,20428.80,5.00,0.00,Szczecin,0.00,40857.60,0.00,2.00,1
K,M,4.00,1.00,76.00,61286.40,4.00,10.00,Poznañ,0.00,71500.80,2.00,0.00,1
W,M,3.00,5.00,54.00,13608.00,5.00,9.00,Bydgoszcz,0.00,20412.00,4.00,0.00,1
K,M,5.00,4.00,95.00,558600.00,5.00,3.00,Lublin,4.00,590520.00,3.00,3.00,1
K,M,5.00,3.00,110.00,476784.00,4.00,8.00,Bydgoszcz,1.00,521136.00,3.00,2.00,1
W,M,5.00,4.00,110.00,22176.00,3.00,2.00,Bia³ystok,1.00,44352.00,2.00,1.00,1
W,M,5.00,4.00,110.00,36960.00,5.00,6.00,Gdañsk,4.00,73920.00,2.00,2.00,1
K,M,3.00,2.00,66.00,79833.60,4.00,5.00,£ódŸ,2.00,82494.72,2.00,0.00,1
K,M,4.00,4.00,88.00,437606.40,5.00,8.00,£ódŸ,2.00,473088.00,2.00,0.00,1
W,M,5.00,5.00,110.00,46200.00,5.00,0.00,£ódŸ,3.00,92400.00,1.00,3.00,1
K,M,3.00,2.00,60.00,102816.00,5.00,2.00,Szczecin,2.00,145152.00,3.00,0.00,1
K,M,5.00,3.00,100.00,967680.00,4.00,3.00,Warszawa,4.00,1008000.00,2.00,1.00,1
K,M,3.00,5.00,54.00,367416.00,5.00,1.00,Wroc³aw,1.00,438858.00,4.00,0.00,1
W,M,4.00,4.00,88.00,35481.60,5.00,5.00,Bia³ystok,2.00,47308.80,2.00,2.00,1
W,M,3.00,1.00,54.00,816.48,1.00,2.00,£ódŸ,1.00,1088.64,0.00,0.00,1
K,M,5.00,4.00,95.00,523488.00,4.00,10.00,Lublin,3.00,625632.00,3.00,2.00,1
W,M,4.00,2.00,80.00,9676.80,3.00,10.00,Szczecin,1.00,12902.40,1.00,1.00,1
W,M,3.00,4.00,60.00,10886.40,3.00,0.00,£ódŸ,2.00,14515.20,2.00,1.00,1
K,M,5.00,4.00,105.00,1005480.00,5.00,3.00,Wroc³aw,0.00,1058400.00,3.00,3.00,1
W,M,5.00,5.00,100.00,50400.00,4.00,10.00,Gdañsk,1.00,67200.00,1.00,2.00,1
K,M,4.00,5.00,72.00,493516.80,4.00,0.00,Gdañsk,2.00,725760.00,3.00,3.00,1
W,M,1.00,5.00,25.00,420.00,1.00,9.00,Poznañ,0.00,840.00,0.00,3.00,1
K,M,3.00,5.00,63.00,523908.00,5.00,9.00,Wroc³aw,0.00,595350.00,0.00,3.00,1
K,M,3.00,5.00,54.00,196363.44,3.00,8.00,Bia³ystok,1.00,260048.88,1.00,2.00,1
K,M,5.00,4.00,110.00,258720.00,2.00,0.00,Szczecin,4.00,273504.00,1.00,0.00,1
W,M,2.00,1.00,42.00,1128.96,4.00,0.00,Kraków,1.00,1693.44,0.00,0.00,1
K,M,1.00,5.00,24.00,24796.80,2.00,2.00,Wroc³aw,0.00,30240.00,0.00,2.00,1
K,M,3.00,1.00,57.00,41368.32,4.00,1.00,Bydgoszcz,0.00,56306.88,3.00,0.00,1
K,M,2.00,1.00,44.00,10644.48,2.00,5.00,Lublin,1.00,13305.60,1.00,0.00,1
W,M,5.00,5.00,90.00,15120.00,2.00,6.00,Kraków,4.00,30240.00,1.00,2.00,1
K,M,4.00,4.00,84.00,311592.96,2.00,9.00,Gdañsk,0.00,338688.00,1.00,0.00,1
K,M,3.00,4.00,57.00,130999.68,3.00,4.00,Lublin,0.00,144789.12,2.00,2.00,1
K,M,5.00,1.00,90.00,136080.00,5.00,7.00,Lublin,2.00,158760.00,0.00,0.00,1
K,M,2.00,2.00,42.00,45158.40,5.00,3.00,Poznañ,0.00,60681.60,0.00,1.00,1
K,M,5.00,3.00,95.00,102942.00,1.00,10.00,£ódŸ,1.00,107730.00,0.00,0.00,1
K,M,5.00,4.00,105.00,550368.00,4.00,0.00,£ódŸ,2.00,564480.00,3.00,3.00,1
K,M,5.00,4.00,95.00,654360.00,5.00,2.00,£ódŸ,0.00,798000.00,3.00,1.00,1
W,M,5.00,4.00,95.00,31920.00,5.00,2.00,Kraków,1.00,63840.00,4.00,3.00,1
W,M,3.00,3.00,63.00,9525.60,5.00,7.00,Warszawa,2.00,19051.20,1.00,2.00,1
K,M,2.00,4.00,38.00,94993.92,4.00,1.00,Kraków,0.00,122572.80,0.00,3.00,1
K,M,2.00,3.00,40.00,37497.60,3.00,9.00,Poznañ,0.00,45964.80,2.00,1.00,1
W,M,4.00,2.00,80.00,16128.00,5.00,5.00,Gdañsk,3.00,21504.00,3.00,0.00,1
K,M,5.00,2.00,105.00,308700.00,5.00,2.00,Szczecin,0.00,388080.00,0.00,0.00,1
K,M,4.00,4.00,72.00,503193.60,5.00,4.00,Bia³ystok,3.00,553512.96,2.00,3.00,1
W,M,3.00,5.00,54.00,16329.60,4.00,6.00,Poznañ,1.00,21772.80,1.00,4.00,1
W,M,4.00,5.00,76.00,25536.00,5.00,5.00,Kraków,3.00,51072.00,2.00,2.00,1
W,M,4.00,5.00,84.00,16934.40,3.00,6.00,Poznañ,0.00,25401.60,0.00,4.00,1
K,M,4.00,3.00,72.00,446342.40,5.00,10.00,Gdañsk,1.00,468115.20,4.00,2.00,1
K,M,5.00,5.00,95.00,897750.00,5.00,6.00,Gdañsk,4.00,1346625.00,4.00,2.00,1
K,M,5.00,3.00,90.00,486486.00,5.00,2.00,Bia³ystok,2.00,663390.00,1.00,2.00,1
W,M,2.00,5.00,38.00,3830.40,2.00,5.00,Bydgoszcz,0.00,5107.20,0.00,3.00,1
W,M,4.00,5.00,80.00,32256.00,4.00,10.00,Gdañsk,0.00,43008.00,0.00,1.00,1
W,M,4.00,3.00,88.00,14192.64,4.00,8.00,Bydgoszcz,0.00,28385.28,3.00,1.00,1
W,M,5.00,4.00,100.00,33600.00,5.00,8.00,£ódŸ,4.00,67200.00,3.00,3.00,1
K,M,3.00,4.00,57.00,293025.60,5.00,3.00,Gdañsk,1.00,387828.00,1.00,1.00,1
K,M,3.00,2.00,60.00,140616.00,5.00,3.00,Wroc³aw,2.00,163296.00,1.00,0.00,1
W,M,2.00,2.00,44.00,4435.20,5.00,4.00,Wroc³aw,0.00,5913.60,0.00,0.00,1
K,M,4.00,4.00,72.00,147087.36,2.00,8.00,Bydgoszcz,1.00,150958.08,0.00,3.00,1
W,M,1.00,3.00,25.00,252.00,1.00,2.00,Szczecin,0.00,378.00,0.00,2.00,1
K,M,5.00,4.00,90.00,281232.00,3.00,6.00,Poznañ,2.00,444528.00,2.00,0.00,1
K,M,2.00,4.00,40.00,81715.20,2.00,1.00,Warszawa,1.00,92467.20,1.00,1.00,1
K,M,5.00,3.00,110.00,266112.00,2.00,0.00,Wroc³aw,3.00,324324.00,1.00,1.00,1
K,M,2.00,4.00,40.00,86016.00,5.00,3.00,Lublin,0.00,112896.00,4.00,3.00,1
W,M,5.00,4.00,105.00,28224.00,4.00,6.00,Bia³ystok,4.00,42336.00,2.00,1.00,1
W,M,3.00,3.00,60.00,2721.60,1.00,10.00,Lublin,2.00,3628.80,0.00,2.00,1
W,M,5.00,4.00,90.00,27216.00,3.00,0.00,Bia³ystok,0.00,36288.00,2.00,0.00,1
K,M,3.00,3.00,63.00,120022.56,2.00,8.00,Wroc³aw,0.00,137168.64,1.00,1.00,1
W,M,5.00,3.00,105.00,26460.00,5.00,6.00,Bydgoszcz,4.00,39690.00,2.00,0.00,1
W,M,4.00,4.00,76.00,16343.04,4.00,7.00,Lublin,0.00,32686.08,0.00,0.00,1
K,M,5.00,5.00,90.00,238140.00,1.00,7.00,Wroc³aw,3.00,283500.00,0.00,2.00,1
K,M,4.00,3.00,72.00,348364.80,4.00,10.00,Wroc³aw,1.00,391910.40,3.00,2.00,1
K,M,4.00,4.00,72.00,158699.52,2.00,0.00,£ódŸ,0.00,162570.24,0.00,0.00,1
K,M,4.00,5.00,80.00,688128.00,4.00,10.00,Warszawa,1.00,1032192.00,0.00,2.00,1
K,M,2.00,5.00,36.00,99792.00,5.00,7.00,Poznañ,1.00,105840.00,2.00,1.00,1
K,M,4.00,2.00,80.00,258048.00,4.00,6.00,Gdañsk,3.00,270950.40,3.00,0.00,1
W,M,5.00,5.00,95.00,23940.00,3.00,6.00,Bia³ystok,1.00,47880.00,1.00,4.00,1
K,M,4.00,3.00,84.00,352235.52,4.00,8.00,Bia³ystok,1.00,361041.41,2.00,2.00,1
K,M,4.00,3.00,80.00,319334.40,3.00,7.00,Warszawa,3.00,367718.40,1.00,1.00,1
K,M,4.00,1.00,80.00,95047.68,4.00,9.00,Bia³ystok,1.00,117411.84,2.00,0.00,1
W,M,4.00,5.00,80.00,21504.00,4.00,9.00,Lublin,1.00,43008.00,1.00,3.00,1
K,M,5.00,5.00,100.00,1596000.00,5.00,6.00,Warszawa,4.00,1848000.00,3.00,4.00,1
K,M,5.00,5.00,95.00,191520.00,1.00,7.00,Kraków,2.00,221445.00,0.00,2.00,1
W,M,3.00,5.00,63.00,12700.80,4.00,4.00,Bydgoszcz,0.00,25401.60,1.00,1.00,1
W,M,4.00,3.00,76.00,6128.64,2.00,10.00,Gdañsk,2.00,9192.96,0.00,2.00,1
W,M,3.00,5.00,66.00,16632.00,5.00,2.00,Szczecin,2.00,33264.00,0.00,4.00,1
K,M,5.00,1.00,110.00,166320.00,5.00,9.00,Lublin,4.00,212520.00,4.00,0.00,1
W,M,3.00,4.00,66.00,15966.72,4.00,5.00,Kraków,2.00,21288.96,2.00,2.00,1
K,M,5.00,1.00,90.00,108864.00,4.00,1.00,Lublin,0.00,127008.00,3.00,0.00,1
W,P,1.00,4.00,21.00,2257.92,4.00,1.00,Bydgoszcz,1.00,1693.44,4.00,2.00,0
W,M,5.00,1.00,110.00,14784.00,4.00,10.00,Bydgoszcz,5.00,11088.00,3.00,5.00,0
W,P,1.00,3.00,23.00,927.36,4.00,1.00,Szczecin,1.00,1391.04,4.00,3.00,0
W,P,1.00,2.00,21.00,211.68,1.00,9.00,Poznañ,1.00,282.24,0.00,3.00,0
W,P,1.00,1.00,23.00,77.28,1.00,7.00,Bia³ystok,1.00,154.56,2.00,4.00,0
K,M,5.00,3.00,110.00,353152.80,2.00,3.00,Bia³ystok,5.00,353152.80,5.00,1.00,0
W,P,1.00,4.00,19.00,1021.44,4.00,1.00,Warszawa,1.00,1532.16,4.00,1.00,0
W,P,1.00,3.00,22.00,332.64,1.00,0.00,Bia³ystok,1.00,443.52,4.00,1.00,0
W,M,2.00,1.00,36.00,483.84,2.00,9.00,Bia³ystok,3.00,967.68,5.00,0.00,0
W,M,1.00,3.00,19.00,1149.12,4.00,9.00,Szczecin,4.00,1149.12,3.00,0.00,0
W,M,2.00,5.00,40.00,1344.00,1.00,6.00,Poznañ,1.00,1344.00,5.00,2.00,0
W,P,1.00,1.00,23.00,154.56,1.00,4.00,Bydgoszcz,1.00,77.28,3.00,2.00,0
W,M,4.00,5.00,84.00,11289.60,2.00,2.00,Bydgoszcz,5.00,22579.20,3.00,0.00,0
W,P,1.00,2.00,18.00,362.88,2.00,4.00,Bydgoszcz,1.00,241.92,1.00,4.00,0
W,M,3.00,3.00,57.00,12927.60,5.00,3.00,Poznañ,4.00,17236.80,2.00,3.00,0
W,M,4.00,1.00,72.00,3870.72,2.00,8.00,£ódŸ,3.00,2903.04,0.00,1.00,0
W,M,5.00,2.00,90.00,6048.00,1.00,8.00,Bydgoszcz,5.00,6048.00,1.00,2.00,0
K,M,5.00,5.00,100.00,592200.00,2.00,7.00,Gdañsk,3.00,403200.00,5.00,4.00,0
W,M,5.00,4.00,100.00,20160.00,3.00,3.00,Bia³ystok,1.00,30240.00,1.00,0.00,0
W,M,4.00,1.00,76.00,2042.88,1.00,5.00,Wroc³aw,3.00,1021.44,1.00,2.00,0
W,M,5.00,1.00,110.00,14784.00,4.00,9.00,£ódŸ,1.00,11088.00,3.00,3.00,0
K,M,2.00,4.00,40.00,137088.00,5.00,4.00,Kraków,5.00,120960.00,2.00,5.00,0
W,M,2.00,3.00,36.00,2903.04,4.00,2.00,Gdañsk,2.00,5806.08,2.00,1.00,0
K,M,3.00,1.00,54.00,23950.08,2.00,7.00,Szczecin,0.00,16873.92,3.00,1.00,0
W,M,1.00,1.00,22.00,295.68,4.00,4.00,Bydgoszcz,3.00,591.36,2.00,3.00,0
W,P,1.00,3.00,20.00,806.40,2.00,7.00,Poznañ,1.00,403.20,2.00,2.00,0
K,M,4.00,5.00,72.00,232243.20,3.00,3.00,Bydgoszcz,1.00,355622.40,2.00,1.00,0
W,M,1.00,5.00,22.00,2217.60,3.00,5.00,Poznañ,0.00,2217.60,0.00,2.00,0
W,M,2.00,1.00,44.00,591.36,2.00,1.00,Kraków,1.00,887.04,2.00,5.00,0
W,M,3.00,4.00,57.00,10342.08,3.00,7.00,Bia³ystok,0.00,13789.44,2.00,2.00,0
W,P,1.00,5.00,18.00,1360.80,3.00,1.00,Wroc³aw,1.00,1814.40,4.00,3.00,0
K,M,5.00,5.00,90.00,663390.00,3.00,6.00,Wroc³aw,1.00,714420.00,2.00,1.00,0
W,M,2.00,1.00,38.00,1149.12,3.00,3.00,Poznañ,2.00,766.08,3.00,1.00,0
W,P,1.00,4.00,22.00,2365.44,4.00,9.00,Szczecin,1.00,1774.08,5.00,3.00,0
W,P,1.00,5.00,24.00,3225.60,4.00,10.00,Warszawa,1.00,2419.20,3.00,2.00,0
W,P,1.00,5.00,24.00,2016.00,5.00,6.00,Bydgoszcz,1.00,4032.00,3.00,4.00,0
K,M,2.00,3.00,38.00,57456.00,3.00,9.00,Lublin,2.00,41368.32,3.00,0.00,0
W,M,3.00,5.00,63.00,19051.20,4.00,5.00,Bia³ystok,1.00,12700.80,0.00,0.00,0
W,M,3.00,4.00,54.00,17418.24,4.00,8.00,Wroc³aw,0.00,13063.68,1.00,0.00,0
W,P,1.00,1.00,20.00,537.60,4.00,5.00,Bia³ystok,1.00,403.20,1.00,4.00,0
W,M,4.00,3.00,84.00,10160.64,2.00,6.00,Wroc³aw,4.00,6773.76,4.00,5.00,0
K,M,1.00,3.00,23.00,22720.32,4.00,3.00,Lublin,3.00,22256.64,3.00,5.00,0
W,P,1.00,2.00,23.00,927.36,4.00,7.00,Warszawa,1.00,618.24,4.00,2.00,0
W,M,5.00,4.00,90.00,18144.00,2.00,9.00,£ódŸ,0.00,12096.00,3.00,1.00,0
W,M,2.00,3.00,42.00,1693.44,1.00,7.00,Bydgoszcz,4.00,846.72,0.00,4.00,0
W,P,1.00,5.00,23.00,1159.20,3.00,2.00,Szczecin,1.00,1159.20,3.00,3.00,0
K,M,2.00,4.00,42.00,59270.40,2.00,5.00,Gdañsk,4.00,72817.92,2.00,3.00,0
K,M,2.00,3.00,40.00,58060.80,4.00,9.00,Szczecin,4.00,62899.20,3.00,5.00,0
W,P,1.00,3.00,18.00,544.32,2.00,0.00,Gdañsk,1.00,362.88,1.00,1.00,0
K,M,5.00,1.00,90.00,112266.00,3.00,0.00,Wroc³aw,1.00,102060.00,0.00,2.00,0
W,M,5.00,3.00,100.00,10080.00,2.00,8.00,Gdañsk,1.00,10080.00,2.00,1.00,0
K,M,3.00,3.00,66.00,254270.02,4.00,9.00,Bia³ystok,1.00,166053.89,5.00,0.00,0
W,P,1.00,3.00,21.00,1693.44,4.00,0.00,Poznañ,1.00,1693.44,0.00,4.00,0
K,M,3.00,4.00,57.00,195350.40,5.00,4.00,Bydgoszcz,0.00,218332.80,1.00,3.00,0
W,M,3.00,2.00,54.00,1088.64,1.00,3.00,Gdañsk,2.00,1632.96,3.00,4.00,0
